date,timestamp,resp_value
2026-02-16,1771202580000,18.0
2026-02-16,1771202640000,17.0
2026-02-16,1771202760000,16.0
2026-02-16,1771202880000,17.0
2026-02-16,1771203000000,20.0
2026-02-16,1771203120000,20.0
2026-02-16,1771203240000,18.0
2026-02-16,1771203360000,17.0
2026-02-16,1771203480000,17.0
2026-02-16,1771203600000,17.0
2026-02-16,1771203720000,19.0
2026-02-16,1771203840000,17.0
2026-02-16,1771203960000,16.0
2026-02-16,1771204080000,16.0
2026-02-16,1771204200000,16.0
2026-02-16,1771204320000,15.0
2026-02-16,1771204440000,15.0
2026-02-16,1771204560000,16.0
2026-02-16,1771204680000,16.0
2026-02-16,1771204800000,15.0
2026-02-16,1771204920000,15.0
2026-02-16,1771205040000,15.0
2026-02-16,1771205160000,15.0
2026-02-16,1771205280000,15.0
2026-02-16,1771205400000,14.0
2026-02-16,1771205520000,15.0
2026-02-16,1771205640000,14.0
2026-02-16,1771205760000,14.0
2026-02-16,1771205880000,15.0
2026-02-16,1771206000000,17.0
2026-02-16,1771206120000,17.0
2026-02-16,1771206240000,18.0
2026-02-16,1771206360000,17.0
2026-02-16,1771206480000,18.0
2026-02-16,1771206600000,18.0
2026-02-16,1771206720000,16.0
2026-02-16,1771206840000,17.0
2026-02-16,1771206960000,17.0
2026-02-16,1771207080000,15.0
2026-02-16,1771207200000,15.0
2026-02-16,1771207320000,14.0
2026-02-16,1771207440000,15.0
2026-02-16,1771207560000,15.0
2026-02-16,1771207680000,14.0
2026-02-16,1771207800000,14.0
2026-02-16,1771207920000,15.0
2026-02-16,1771208040000,16.0
2026-02-16,1771208160000,16.0
2026-02-16,1771208280000,13.0
2026-02-16,1771208400000,15.0
2026-02-16,1771208520000,14.0
2026-02-16,1771208640000,15.0
2026-02-16,1771208760000,15.0
2026-02-16,1771208880000,14.0
2026-02-16,1771209000000,15.0
2026-02-16,1771209120000,15.0
2026-02-16,1771209240000,14.0
2026-02-16,1771209360000,15.0
2026-02-16,1771209480000,14.0
2026-02-16,1771209600000,14.0
2026-02-16,1771209720000,15.0
2026-02-16,1771209840000,15.0
2026-02-16,1771209960000,15.0
2026-02-16,1771210080000,13.0
2026-02-16,1771210200000,14.0
2026-02-16,1771210320000,17.0
2026-02-16,1771210440000,17.0
2026-02-16,1771210560000,17.0
2026-02-16,1771210680000,18.0
2026-02-16,1771210800000,18.0
2026-02-16,1771210920000,19.0
2026-02-16,1771211040000,20.0
2026-02-16,1771211160000,18.0
2026-02-16,1771211280000,15.0
2026-02-16,1771211400000,14.0
2026-02-16,1771211520000,15.0
2026-02-16,1771211640000,16.0
2026-02-16,1771211760000,15.0
2026-02-16,1771211880000,14.0
2026-02-16,1771212000000,15.0
2026-02-16,1771212120000,14.0
2026-02-16,1771212240000,14.0
2026-02-16,1771212360000,14.0
2026-02-16,1771212480000,15.0
2026-02-16,1771212600000,15.0
2026-02-16,1771212720000,15.0
2026-02-16,1771212840000,14.0
2026-02-16,1771212960000,15.0
2026-02-16,1771213080000,14.0
2026-02-16,1771213200000,14.0
2026-02-16,1771213320000,15.0
2026-02-16,1771213440000,15.0
2026-02-16,1771213560000,15.0
2026-02-16,1771213680000,15.0
2026-02-16,1771213800000,15.0
